Date,Serial number,Sequence code,Name,Order,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies,Sex,Adult/Larvae,Latitude,Longitude,Elevation,Locality,Environment,Collector
2020/6/20,20062014-1,Ec14-1,Encaustes cruenta formosana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Encaustes,,cruenta,formosana,_,Adult,23.069396,120.752337,1476,"Taoyuan District, Kaohsiung City",,Jia-Fong Chen
2020/6/26,20062604-1,Csp04(Csp04_1),Tritoma yamazii species complex,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,,,,,Adult,24.655553,121.4069,907,"Fuxing District, Taoyuan City",Fuscoporia gilva,___(Guan Jie Phang)
2020/6/26,20062612-1,,Episcapha (Episcapha) flavofasciata cheni,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Episcapha,flavofasciata,cheni,,Adult,23.473968,120.788012,1887,"Alishan Township, Chiayi County",,___(Shu-Ping Wu)
2020/6/26,20062612-2,,Episcapha (Episcapha) flavofasciata cheni,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Episcapha,flavofasciata,cheni,,Adult,23.473968,120.788012,1887,"Alishan Township, Chiayi County",,___(Shu-Ping Wu)
2020/6/26,20062612-3,,Episcapha (Episcapha) flavofasciata cheni,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Episcapha,flavofasciata,cheni,,Adult,23.473968,120.788012,1887,"Alishan Township, Chiayi County",,___(Shu-Ping Wu)
2020/6/26,20062612-4,,Episcapha (Episcapha) flavofasciata cheni,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Episcapha,flavofasciata,cheni,,Adult,23.473968,120.788012,1887,"Alishan Township, Chiayi County",,___(Shu-Ping Wu)
2020/6/26,20062612-5,,Episcapha (Psiloscapha) takasagona,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Psiloscapha,takasagona,,,Adult,23.473968,120.788012,1887,"Alishan Township, Chiayi County",,___(Shu-Ping Wu)
2020/6/26,20062612-6,,Episcapha (Psiloscapha) takasagona,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Psiloscapha,takasagona,,,Adult,23.473968,120.788012,1887,"Alishan Township, Chiayi County",,___(Shu-Ping Wu)
2020/6/28,20062804-1,No04-1(ERO-0025),Neodacne okunii,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Neodacne,,okunii,,,Adult,24.631816,121.366473,2148,"Fuxing District, Taoyuan City",,___(Shu-Ping Wu)
2020/6/28,20062804-2,,Episcapha (Ephicaspa) asahinai asahinai,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Ephicaspa,asahinai,asahinai,,Adults(25),24.631816,121.366473,2148,"Fuxing District, Taoyuan City",,___(Shu-Ping Wu)
2020/6/28,20062804-3,,Episcapha (Psiloscapha) takasagona,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Psiloscapha,takasagona,,,Adults(15),24.631816,121.366473,2148,"Fuxing District, Taoyuan City",,___(Shu-Ping Wu)
2020/7/14,20071403-1,,Micrencaustes (Micrencaustes) navicularis,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Micrencaustes,Micrencaustes,navicularis,,,Adult,24.791839,121.453252,1701,"Sanxia District, New Taipei City",,___(Shu-Ping Wu)
2020/7/26,20072604-11,Tf04-1,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.832,121.366,548,"Fuxing District, Taoyuan City",Unknown,___(Guan Jie Phang)
2020/8/2,20080202-5(1),Tf02-1,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,25.133867,121.583803,446,"Shilin District, Taipei City",Dead log with mosses,___(Guan Jie Phang)
2020/8/2,20080202-6(1),,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,25.133867,121.583803,446,"Shilin District, Taipei City",Dead log with mosses,___(Guan Jie Phang)
2020/8/4,20080403-1,Nsp03-1,Neosternus sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Dacnini,,Neosternus,,,,_,Adult,24.7622,121.5832,654,"Wulai District, New Taipei City",Under bark,___(Bin-Hong Ho)
2020/8/5,20080502-4(0),Asp1,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/8/5,20080502-5(0),Asp2,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/8/5,20080502-6(0),Asp3,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/8/5,20080502-7(0),Asp6,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/8/5,20080502-8(0),Asp7,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/8/7,20080702-3(0),Asp8,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/8/9,20080906-6,Cl06-1(ERO-0026),Cyrtomorphus liui,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Cyrtomorphus,,liui,,_,Adult,24.751517,121.274647,757,"Jianshi Township, Hsinchu County",Microporus affinis,___(Guan Jie Phang)
2020/8/9,20080906-7,Cl06-2,Cyrtomorphus liui,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Cyrtomorphus,,liui,,_,Adult,24.751381,121.274572,750,"Jianshi Township, Hsinchu County",Microporus affinis,___(Guan Jie Phang)
2020/8/9,20080906-11,,Triplax hurusyoi,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Triplax,,hurusyoi,,,Larvae(5),24.751414,121.272889,712,"Jianshi Township, Hsinchu County",,___(Guan Jie Phang)
2020/8/11,20081116-1,,Triplax hurusyoi,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Triplax,,hurusyoi,,,Larvae(4),24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/11,20081116-3(0),Tf16-1,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/11,20081116-4(0),Tf16-2,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/11,20081116-5(0),Tf16-3,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/15,20081502-1,Ec02-1,Encaustes cruenta formosana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Encaustes,,cruenta,formosana,_,Adult,25.137331,121.536272,298,"Shilin District, Taipei City",Lentinus squarrosulus,___(Guan Jie Phang)
2020/8/20,20082002-1(0),Am02-1,Amblyopus interruptus,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Amblyopus,,interruptus,,_,Adult,25.024008,121.587581,312,"Nangang District, Taipei City",Termitomyces microcarpus,___(Guan Jie Phang)
2020/8/20,20082002-2(0),Am02-2,Amblyopus interruptus,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Amblyopus,,interruptus,,_,Adult,25.024008,121.587581,312,"Nangang District, Taipei City",Termitomyces microcarpus,___(Guan Jie Phang)
