Taxa,Population,Latitude,Longitude,Elevation
Amblyopus_interruptus_Am02_1,Taipei,25.024008,121.587581,312
Amblyopus_interruptus_Am02_5,Taipei,25.147468,121.54562,578
Amblyopus_interruptus_Am02_6,Taipei,25.147468,121.54562,578
Amblyopus_interruptus_Am08_1,Taichung,24.205023,120.593892,292
Amblyopus_interruptus_Am14_2,Kaohsiung,22.648785,120.270588,103
Cyrtomorphus_liui_spcomplex_Cl03_1,New Taipei,24.881406,121.583386,419
Cyrtomorphus_liui_spcomplex_Cl03_2,New Taipei,24.881406,121.583386,419
Cyrtomorphus_liui_spcomplex_Cl11_1,Nantou,24.086,121.034,840
Encaustes_cruenta_formosana_Ec02_1,Taipei,25.137331,121.536272,298
Encaustes_cruenta_formosana_Ec02_2,Taipei,25.023217,121.586522,309
Encaustes_cruenta_formosana_Ec11_1,Nantou,23.730405,120.786525,832
Encaustes_cruenta_formosana_Ec12_1,Chiayi,23.497255,120.718041,1881
Encaustes_cruenta_formosana_Ec14_1,Kaohsiung,23.069396,120.752337,1476
Encaustes_cruenta_formosana_Ec16_1,Yilan,24.831861,121.736428,195
Encaustes_cruenta_formosana_Ec16_2,Yilan,24.831861,121.736428,195
Episcapha_morawitzi_magna_Em03_3,New Taipei,24.829264,121.410655,944
Episcapha_morawitzi_magna_Em07_1,Miaoli,24.411,121.004,1763
Episcapha_morawitzi_magna_Em15_1,Pingtung,22.408846,120.741153,1217
Episcapha_morawitzi_magna_Em15_2,Pingtung,22.408846,120.741153,1217
Episcapha_morawitzi_magna_Em15_4,Pingtung,22.408846,120.741153,1217
Episcapha_morawitzi_magna_Em18_9,Taitung,22.61799,120.934457,1116
Episcapha_takasagona_Et03_1,New Taipei,24.986167,121.63675,335
Episcapha_takasagona_Et03_2,New Taipei,24.986167,121.63675,335
Episcapha_takasagona_Et04_9,Taoyuan,24.700783,121.435474,1898
Episcapha_takasagona_Et08_1,Taichung,24.247836,120.933706,1558
Episcapha_takasagona_Et08_2,Taichung,24.23681,120.953465,1895
Micrencaustes_taiwana_Mt03_2,New Taipei,24.894496,121.741781,297
Micrencaustes_taiwana_Mt03_3,New Taipei,24.894496,121.741781,297
Micrencaustes_taiwana_Mt06_1,Hsinchu,24.7517,121.273006,736
Micrencaustes_taiwana_Mt15_1,Pingtung,22.407561,120.772658,1436
Neotriplax_spcomplex_Ne03_1,New Taipei,24.829264,121.410655,944
Neotriplax_spcomplex_Ne03_4,New Taipei,24.829264,121.410655,944
Neotriplax_spcomplex_Ne06_4,Hsinchu,24.734,121.298,1686
Neotriplax_spcomplex_Ne06_5,Hsinchu,24.734,121.298,1686
Neotriplax_spcomplex_Ne08_1,Taichung,24.255822,121.007975,2270
Neotriplax_spcomplex_Ne08_2,Taichung,24.255822,121.007975,2270
Neotriplax_spcomplex_Ne08_11,Taichung,24.23681,120.953465,1895
Neotriplax_spcomplex_Ne12_1,Chiayi,23.515231,120.810106,2218
Neotriplax_spcomplex_Ne16_1,Yilan,24.396316,121.355359,1977
Tritoma_yamazii_Ty08_3,Taichung,24.248,120.933,1580
Tritoma_yamazii_spcomplex_Csp02_1,Taipei,25.021886,121.585392,324
Tritoma_yamazii_spcomplex_Csp04_1,Taoyuan,24.655553,121.4069,907
Tritoma_yamazii_spcomplex_Tn06_1,Hsinchu,24.691,121.308,1669
